id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9042129,apartment group,apartment group,336000 - 610000,for sale,1000,xl,,,,,,,,,,,1,1,2575488,we invest real estate,94,Bruxelles
9041098,apartment group,apartment group,165000 - 420000,for sale,6001,xl,,,,,,,,,,,,,1400721,concept confort sprl,64,Marcinelle
9039019,apartment,apartment,1550000,for sale,1050,xl,usa hyper equipped,2017,as new,gas,,3,,,,,,1,2595964,lecobel vaneau vente neuf,213,Ixelles
9043036,apartment,apartment,195000,for sale,9600,xl,installed,2014,good,gas,,2,,,,,,,1002634,immo beguin,75,Renaix
9042073,apartment,apartment,320000,for sale,1070,xl,usa hyper equipped,2017,as new,gas,,3,,,true,,1,1,2916018,sky realty,130,Anderlecht
9034494,apartment,apartment,715000,for sale,1950,xl,usa hyper equipped,2020,as new,gas,,2,,,true,,1,1,2352,latour et petit vente,126,Kraainem
9042950,apartment,triplex,235000,for sale,6010,xl,hyper equipped,2013,as new,gas,,3,,,,,,1,663882,etimo,149,Couillet
8997289,apartment,flat studio,224500,for sale,1180,xl,hyper equipped,1950,good,gas,,1,,,,,,,1731013,orientations,52,Uccle
9042175,apartment group,apartment group,127000 - 166000,for sale,1160,xl,,,,,,,,,,,1,1,2575488,we invest real estate,19,Auderghem
9039433,apartment,apartment,780000,for sale,1180,xl,usa hyper equipped,1962,just renovated,gas,,3,,,true,,1,1,1942392,bathim &amp; co,190,Uccle
9038896,apartment,apartment,210000,for sale,4430,xl,installed,2020,as new,gas,,2,,,true,,,1,558223,cd consult,77,Ans
9038897,apartment,apartment,250000,for sale,4430,xl,installed,2020,as new,gas,,2,,,true,,,1,558223,cd consult,97,Ans
8603832,apartment group,apartment group,165000 - 449000,for sale,8710,xl,,,,,,,,,,,,,1600308,dewaele | vastgoed met advies waregem,58,Wielsbeke
9039312,apartment,apartment,358000,for sale,9000,xl,installed,1969,good,gas,,2,,,true,,,,348077,trevi gent,85,Gand
9039311,apartment,loft,360500,for sale,2060,xl,installed,1918,good,gas,,2,,,true,,1,,348077,trevi gent,114,Anvers
9038507,apartment,duplex,199000,for sale,8370,xl,installed,2004,good,gas,,2,,,true,,,,2759428,immo marina,87,Blankenberge
9037014,apartment,apartment,288000,for sale,1070,xl,usa hyper equipped,1991,as new,gas,,2,,,true,,,,3672925,,88,Anderlecht
9037272,apartment group,apartment group,210000 - 225000,for sale,5170,xl,,,,,,,,,,,,10,2164972,century 21 la clé,78,Bois%20de%20Villers
9034495,apartment,flat studio,239500,for sale,1160,xl,usa hyper equipped,2022,as new,gas,,0,,,,,,,2352,latour et petit vente,46,Auderghem
9034656,apartment,service flat,320000,for sale,8670,xl,usa hyper equipped,2019,as new,gas,,1,,,,,,,1361501,immo la terrasse,57,Sint-Idesbald
